"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"12341",1565000,390000,0.0110596,2.04e-05,0.0011904,0.0053344,0.0064072,0.0011828,0.0515136,0.0038284,0.00468,3.6e-06,0.0006124,0.2170356,0.0023924,0.0198192,0.6144612,0.0198632,5.28e-05,4.8e-06,0.0012044,0.007682,0.019248,1.28e-05,0.0123908
"12342",1573000,390000,0.0106932,2.68e-05,0.001122,0.0047668,0.0069668,0.0012968,0.0502576,0.0036596,0.004038,1.88e-05,0.0005112,0.2186952,0.0021092,0.0182588,0.626408,0.0130736,8.72e-05,4e-07,0.0016016,0.0077176,0.0175036,6e-06,0.0111812
"12343",1581000,390000,0.0104552,4e-05,0.0006236,0.0038016,0.0084772,0.0019864,0.0491996,0.003572,0.0035068,1.4e-05,0.0004336,0.212694,0.0019744,0.0208036,0.6374668,0.0076744,0.0001676,2.28e-05,0.0005524,0.0087172,0.016918,5.2e-06,0.0108936
"12344",1589000,390000,0.0054896,2.24e-05,0.000332,0.0025456,0.0070436,0.0009956,0.0755348,0.0010576,0.0010648,3.6e-06,0.0002268,0.1608164,0.0006236,0.0186956,0.6928144,0.005784,2.48e-05,1.12e-05,0.0002288,0.0061304,0.0143076,2.8e-06,0.006244
"12345",1597000,390000,0.0036632,8.4e-06,0.0001584,0.00117,0.0055056,0.0004596,0.1424828,0.0003904,0.000536,9.2e-06,7.28e-05,0.1174812,0.00026,0.0185268,0.6862036,0.0022896,1.08e-05,6e-06,0.0001184,0.004658,0.0118232,1.2e-06,0.0041648
"12346",1605000,390000,0.0034284,4e-06,0.0001764,0.0007588,0.005006,0.0004376,0.2333524,0.00032,0.0003596,3.6e-06,6.04e-05,0.0889772,0.0002076,0.0226172,0.616482,0.0020008,4.4e-06,4.4e-06,0.000134,0.0046728,0.0163364,2e-06,0.004654
"12347",1613000,390000,0.0026048,4.8e-06,0.000136,0.0008648,0.0037708,0.0004696,0.28612,0.0003324,0.0002768,1.2e-06,9.2e-05,0.0759056,0.0002028,0.0197296,0.5851288,0.0014212,8e-07,8e-07,0.0001116,0.0048704,0.0136436,1.6e-06,0.00431
"12348",1621000,390000,0.0035808,1.24e-05,0.0002944,0.0017324,0.0046484,0.000688,0.1635524,0.0007752,0.000432,5.6e-06,0.0001496,0.1107052,0.0002928,0.0232108,0.655478,0.003006,1.04e-05,4.56e-05,0.0002484,0.0069656,0.0157132,1.88e-05,0.008434
"12349",1629000,390000,0.0041244,3.44e-05,0.0003952,0.0038764,0.0050892,0.0005552,0.1183284,0.0013448,0.0007004,8e-07,0.0002344,0.134104,0.000558,0.0237592,0.6665944,0.0036,4e-07,1.04e-05,0.0005488,0.0067728,0.0191704,9.6e-06,0.0101884
"12350",1637000,390000,0.0046012,1.44e-05,0.0004916,0.00575,0.0046388,0.0004876,0.0778204,0.0012224,0.0006444,1.2e-06,0.0003176,0.121484,0.000362,0.0256036,0.7149552,0.0023676,6.8e-06,1.44e-05,0.0006228,0.0050876,0.0201068,7.6e-06,0.013392
"12351",1645000,390000,0.004944,1.12e-05,0.0006596,0.005728,0.0045152,0.0008148,0.0428984,0.001178,0.0010076,3.2e-06,0.0003048,0.104796,0.0006248,0.0258576,0.7546708,0.0043816,1.16e-05,4.48e-05,0.0014,0.004494,0.0245668,7.2e-06,0.01708
"12355",1677000,390000,0.0070212,3.52e-05,0.0007272,0.0123108,0.004606,0.0005524,0.0300032,0.0022772,0.00209,1.2e-06,0.0005484,0.0715496,0.0006108,0.0365488,0.7541548,0.0075592,1e-05,5.2e-06,0.0015992,0.0078392,0.0393948,3.6e-05,0.0205196
"12356",1685000,390000,0.0064748,0.0001468,0.0007892,0.0121428,0.0059252,0.0008548,0.0342648,0.0018312,0.0024784,2.84e-05,0.0009996,0.0906472,0.0006296,0.0403164,0.710098,0.01405,1.84e-05,6e-06,0.0016592,0.0098884,0.0423768,4.32e-05,0.0243308
"12357",1693000,390000,0.00769,0.0001548,0.0008792,0.011612,0.0071312,0.001294,0.0423744,0.0019792,0.0033248,5.6e-06,0.001356,0.0931576,0.0011056,0.0484408,0.671032,0.0247164,1.16e-05,4.52e-05,0.001728,0.0122608,0.0387276,0.0001832,0.03079
"12358",1701000,390000,0.008866,0.0001608,0.0011596,0.0164768,0.0081356,0.0010476,0.0448776,0.001856,0.0029868,6.2e-05,0.0012204,0.1091808,0.0016844,0.053764,0.6215344,0.0441576,4.2e-05,2.44e-05,0.0020488,0.0179252,0.0360644,9.2e-06,0.0267156
"12359",1709000,390000,0.0089132,0.0006688,0.0008236,0.0122976,0.0085496,0.0009876,0.0491428,0.001106,0.0026332,3.56e-05,0.0010992,0.1080036,0.0011516,0.0559496,0.6045584,0.0549312,0.00012,5.24e-05,0.001978,0.022908,0.0369792,9.2e-06,0.0271016
"12360",1717000,390000,0.0087308,0.000568,0.0014964,0.0096996,0.0107516,0.0011248,0.0462344,0.001742,0.003104,2.12e-05,0.0017236,0.1092056,0.0009624,0.0595244,0.574376,0.0768436,0.000238,0.000102,0.0025036,0.0260424,0.0387232,1.84e-05,0.026264
"12361",1725000,390000,0.007016,0.000706,0.0013792,0.0134564,0.010298,0.000762,0.0366316,0.0012636,0.0038548,6.16e-05,0.0012464,0.1059488,0.001124,0.0534244,0.551746,0.1226876,0.0005912,3.92e-05,0.0016852,0.0294736,0.034074,9.2e-06,0.0225212
"12362",1733000,390000,0.0072796,0.0002568,0.00102,0.0091952,0.0073436,8e-04,0.0288328,0.0006216,0.0037364,1.64e-05,0.0008532,0.1133996,0.0008488,0.058802,0.5127444,0.1641088,0.0004128,0.0001072,0.0013016,0.0396932,0.0287972,1e-05,0.0198188
"12363",1741000,390000,0.0065916,0.0001724,0.0007196,0.0077724,0.0067388,0.0010336,0.0339488,0.0017384,0.002822,6e-06,0.0014728,0.116404,0.0011776,0.058674,0.420648,0.2582796,0.0004456,1.52e-05,0.0014488,0.039568,0.025142,5.6e-06,0.0151752
"12364",1749000,390000,0.005954,0.0002584,0.0006036,0.0091412,0.0061268,0.0008284,0.0306948,0.0010972,0.0023136,1.36e-05,0.0007448,0.1044428,0.0010868,0.049554,0.3807228,0.3305012,4.76e-05,2.52e-05,0.0014336,0.0396164,0.0209924,2.8e-05,0.0137728
